Partito;Data;Percentuale;Istituto;Campione
Lega;25/06/2018;28;Piepoli;508
Lega;25/06/2018;29.7;SWG;1500
M5S;25/06/2018;29;Piepoli;508
M5S;25/06/2018;29.4;SWG;1500
PD;25/06/2018;18;Piepoli;508
PD;25/06/2018;18.8;SWG;1500
FdI;27/06/2018;2.3;Ipsos;997
FI;27/06/2018;8.3;Ipsos;997
Lega;27/06/2018;31.2;Ipsos;997
M5S;27/06/2018;29.8;Ipsos;997
PD;27/06/2018;18.9;Ipsos;997
FdI;02/07/2018;4.3;SWG;1500
FdI;02/07/2018;4;Quorum and YouTrend;2181
FI;02/07/2018;8.2;SWG;1500
FI;02/07/2018;9.9;Quorum and YouTrend;2181
Lega;02/07/2018;29.8;SWG;1500
Lega;02/07/2018;27.7;Quorum and YouTrend;2181
M5S;02/07/2018;28.7;SWG;1500
M5S;02/07/2018;28.1;Quorum and YouTrend;2181
PD;02/07/2018;17.8;SWG;1500
PD;02/07/2018;19.3;Quorum and YouTrend;2181
FdI;08/07/2018;4.4;EMG Acqua;1526
FI;08/07/2018;10.2;EMG Acqua;1526
Lega;08/07/2018;27.5;EMG Acqua;1526
M5S;08/07/2018;30;EMG Acqua;1526
PD;08/07/2018;17.5;EMG Acqua;1526
FdI;09/07/2018;3;Piepoli;506
FdI;09/07/2018;4.3;SWG;1500
FI;09/07/2018;12;Piepoli;506
FI;09/07/2018;7.7;SWG;1500
Lega;09/07/2018;28;Piepoli;506
Lega;09/07/2018;30.5;SWG;1500
M5S;09/07/2018;29;Piepoli;506
M5S;09/07/2018;29;SWG;1500
PD;09/07/2018;18;Piepoli;506
PD;09/07/2018;17.8;SWG;1500
FdI;13/07/2018;4;BiDiMedia;769
FdI;13/07/2018;3.1;Termometro Politico;3400
FI;13/07/2018;8.3;BiDiMedia;769
FI;13/07/2018;7.9;Termometro Politico;3400
Lega;13/07/2018;28.2;BiDiMedia;769
Lega;13/07/2018;30.3;Termometro Politico;3400
M5S;13/07/2018;29;BiDiMedia;769
M5S;13/07/2018;29;Termometro Politico;3400
PD;13/07/2018;18.9;BiDiMedia;769
PD;13/07/2018;18.5;Termometro Politico;3400
FdI;16/07/2018;3.9;SWG;1500
FI;16/07/2018;8.4;SWG;1500
Lega;16/07/2018;30.1;SWG;1500
M5S;16/07/2018;29.7;SWG;1500
PD;16/07/2018;18;SWG;1500
FdI;17/07/2018;4.2;Lorien Consulting;NA
FI;17/07/2018;11.4;Lorien Consulting;NA
Lega;17/07/2018;28.2;Lorien Consulting;NA
M5S;17/07/2018;28.1;Lorien Consulting;NA
PD;17/07/2018;17.8;Lorien Consulting;NA
FdI;18/07/2018;3;Ipsos;1000
FI;18/07/2018;7.7;Ipsos;1000
Lega;18/07/2018;31;Ipsos;1000
M5S;18/07/2018;31.5;Ipsos;1000
PD;18/07/2018;17;Ipsos;1000
FdI;23/07/2018;4.1;Ixè;NA
FdI;23/07/2018;4.1;SWG;1500
FI;23/07/2018;9.6;Ixè;NA
FI;23/07/2018;7.9;SWG;1500
Lega;23/07/2018;28;Ixè;NA
Lega;23/07/2018;30.7;SWG;1500
M5S;23/07/2018;29.2;Ixè;NA
M5S;23/07/2018;29.3;SWG;1500
PD;23/07/2018;18.2;Ixè;NA
PD;23/07/2018;18.1;SWG;1500
FdI;25/07/2018;3.5;Demopolis;1200
FI;25/07/2018;9.5;Demopolis;1200
Lega;25/07/2018;29;Demopolis;1200
M5S;25/07/2018;31;Demopolis;1200
PD;25/07/2018;17.8;Demopolis;1200
FdI;30/07/2018;3.7;SWG;1500
FI;30/07/2018;8.6;SWG;1500
Lega;30/07/2018;30.3;SWG;1500
M5S;30/07/2018;29.7;SWG;1500
PD;30/07/2018;17.4;SWG;1500
FdI;27/08/2018;3;Piepoli;NA
FdI;27/08/2018;4.6;Lorien Consulting;500
FI;27/08/2018;12;Piepoli;NA
FI;27/08/2018;8.7;Lorien Consulting;500
Lega;27/08/2018;30;Piepoli;NA
Lega;27/08/2018;31.7;Lorien Consulting;500
M5S;27/08/2018;29;Piepoli;NA
M5S;27/08/2018;26.8;Lorien Consulting;500
PD;27/08/2018;15;Piepoli;NA
PD;27/08/2018;16.8;Lorien Consulting;500
FdI;02/09/2018;3.3;BiDiMedia;887
FI;02/09/2018;8.1;BiDiMedia;887
Lega;02/09/2018;29.5;BiDiMedia;887
M5S;02/09/2018;28.7;BiDiMedia;887
PD;02/09/2018;17.8;BiDiMedia;887
FdI;03/09/2018;4.1;SWG;1500
FI;03/09/2018;6.9;SWG;1500
Lega;03/09/2018;32.2;SWG;1500
M5S;03/09/2018;28.3;SWG;1500
PD;03/09/2018;17.7;SWG;1500
FdI;04/09/2018;3.7;Tecnè;800
FI;04/09/2018;10.9;Tecnè;800
Lega;04/09/2018;30.1;Tecnè;800
M5S;04/09/2018;29.8;Tecnè;800
PD;04/09/2018;17.5;Tecnè;800
FdI;06/09/2018;3;Noto Sondaggi;1000
FdI;06/09/2018;4.4;GPF Inspiring Research;NA
FdI;06/09/2018;3.5;Tecnè;1000
FdI;06/09/2018;2.5;Ipsos;1000
FI;06/09/2018;9;Noto Sondaggi;1000
FI;06/09/2018;11.3;GPF Inspiring Research;NA
FI;06/09/2018;11;Tecnè;1000
FI;06/09/2018;8.7;Ipsos;1000
Lega;06/09/2018;34;Noto Sondaggi;1000
Lega;06/09/2018;30.8;GPF Inspiring Research;NA
Lega;06/09/2018;30.3;Tecnè;1000
Lega;06/09/2018;33.5;Ipsos;1000
M5S;06/09/2018;27;Noto Sondaggi;1000
M5S;06/09/2018;31.8;GPF Inspiring Research;NA
M5S;06/09/2018;29.5;Tecnè;1000
M5S;06/09/2018;30;Ipsos;1000
PD;06/09/2018;17;Noto Sondaggi;1000
